method,calibration_mode,alpha,fail_cap_quantile,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,backend_fail,backend_fail_median,cost,cost_median,unnecessary,unnecessary_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,recover_fail,recover_fail_median,delay_p50,delay_p50_median,delay_p95,delay_p95_median,average_service_time,average_service_time_median,average_service_cost,average_service_cost_median
TRBG-native-burden,TRBG-native-burden,0.25,1.0,2,8,0.17305780120877068,0.18883184812088338,0.17305780120877068,0.18883184812088338,130.125,123.5,0.5398496095723193,0.5371438760040106,15.125,15.5,0.7527052368902343,0.744015047879617,69.8125,61.375,19.525,18.724999999999998,15.125,15.5,7.875,8.5,0.0,0.0,5.843749999999991,6.0249999999999915,20.052502751437096,18.34742471499321,1.8517826695089243,1.9012896230768495
TRBG-native-burden,TRBG-native-burden,0.5,0.8,1,8,0.09755386844958819,0.0966820323735979,0.09755386844958819,0.0966820323735979,101.875,96.5,0.39114148201824517,0.37838136661875765,11.0,11.5,0.565152810779781,0.5829528993459462,46.83125,44.0,11.06875,10.649999999999999,11.0,11.5,6.125,6.5,0.1875,0.0,8.44375,8.899999999999999,15.502320241192178,14.508424757109132,1.8042737012438377,1.7821403876338218
TRBG-native-burden,TRBG-native-burden,0.5,0.8,2,8,0.17736328348481423,0.1895473587861506,0.17736328348481423,0.1895473587861506,128.5,123.5,0.5514600537678644,0.5439818764582689,14.625,14.5,0.7470337166670017,0.7536003840409644,68.92500000000001,64.25,20.0125,18.974999999999998,14.625,14.5,8.0,8.5,0.0,0.0,6.331250000000001,6.875,19.681144541538135,18.00434737903507,1.915181691215055,1.959108821625001
TRBG-native-burden,TRBG-native-burden,0.5,0.9,1,8,0.09755386844958819,0.0966820323735979,0.09755386844958819,0.0966820323735979,101.875,96.5,0.39114148201824517,0.37838136661875765,11.0,11.5,0.565152810779781,0.5829528993459462,46.83125,44.0,11.06875,10.649999999999999,11.0,11.5,6.125,6.5,0.1875,0.0,8.44375,8.899999999999999,15.502320241192178,14.508424757109132,1.8042737012438377,1.7821403876338218
TRBG-native-burden,TRBG-native-burden,0.5,0.9,2,8,0.17736328348481423,0.1895473587861506,0.17736328348481423,0.1895473587861506,128.5,123.5,0.5514600537678644,0.5439818764582689,14.625,14.5,0.7470337166670017,0.7536003840409644,68.92500000000001,64.25,20.0125,18.974999999999998,14.625,14.5,8.0,8.5,0.0,0.0,6.331250000000001,6.875,19.681144541538135,18.00434737903507,1.915181691215055,1.959108821625001
TRBG-native-burden,TRBG-native-burden,0.5,0.95,1,8,0.09755386844958819,0.0966820323735979,0.09755386844958819,0.0966820323735979,101.875,96.5,0.39114148201824517,0.37838136661875765,11.0,11.5,0.565152810779781,0.5829528993459462,46.83125,44.0,11.06875,10.649999999999999,11.0,11.5,6.125,6.5,0.1875,0.0,8.44375,8.899999999999999,15.502320241192178,14.508424757109132,1.8042737012438377,1.7821403876338218
TRBG-native-burden,TRBG-native-burden,0.5,0.95,2,8,0.17736328348481423,0.1895473587861506,0.17736328348481423,0.1895473587861506,128.5,123.5,0.5514600537678644,0.5439818764582689,14.625,14.5,0.7470337166670017,0.7536003840409644,68.92500000000001,64.25,20.0125,18.974999999999998,14.625,14.5,8.0,8.5,0.0,0.0,6.331250000000001,6.875,19.681144541538135,18.00434737903507,1.915181691215055,1.959108821625001
TRBG-native-burden,TRBG-native-burden,0.5,1.0,1,8,0.09755386844958819,0.0966820323735979,0.09755386844958819,0.09668203237359792,101.875,96.5,0.39114148201824517,0.37838136661875765,11.0,11.5,0.565152810779781,0.5829528993459462,46.83125,44.0,11.06875,10.649999999999999,11.0,11.5,6.125,6.5,0.1875,0.0,8.44375,8.899999999999999,15.502320241192178,14.508424757109132,1.8042737012438377,1.7821403876338218
TRBG-native-burden,TRBG-native-burden,0.5,1.0,2,8,0.17736328348481423,0.1895473587861506,0.1773632834848142,0.1895473587861506,128.5,123.5,0.5514600537678644,0.5439818764582689,14.625,14.5,0.7470337166670017,0.7536003840409644,68.92500000000001,64.25,20.0125,18.974999999999998,14.625,14.5,8.0,8.5,0.0,0.0,6.331250000000001,6.875,19.681144541538135,18.00434737903507,1.915181691215055,1.959108821625001
TRBG-native-burden,TRBG-native-burden,1.0,0.8,1,8,0.09298412923684013,0.09412970976001955,0.09298412923684013,0.09412970976001955,101.375,98.5,0.3684375680021522,0.3636787293204874,9.375,9.0,0.5596568661338472,0.5672283435526255,47.50625,48.375,10.493749999999999,9.3,9.375,9.0,6.5,6.5,0.25,0.0,8.0125,8.049999999999997,15.87906114668689,14.976201803193696,1.6953310995163182,1.5891476609200492
