method,B,holdout_id,proxy,proxy_kind,proxy_score,proxy_weighted_success,backend_fail,cost,recover_fail
topk_expected_consequence,1,cfC_interleaved_1_seed20260612_off1320,product_proxy,positive,0.06321525885558582,5.800000000000001,87,0.4046804762386475,2
topk_expected_consequence,1,cfC_interleaved_1_seed20260612_off1320,additive_proxy,positive,0.06327319587628866,24.549999999999997,87,0.4046804762386475,2
topk_expected_consequence,1,cfC_interleaved_1_seed20260612_off1320,backend_success_proxy,positive,0.2421711899791232,5.800000000000001,87,0.4046804762386475,2
topk_expected_consequence,1,cfC_interleaved_1_seed20260612_off1320,recovery_aware_proxy,positive,0.06542583192329386,5.800000000000001,87,0.4046804762386475,2
topk_expected_consequence,1,cfC_interleaved_1_seed20260612_off1320,burden_proxy,burden,-0.6583324605935402,-134.29982196108222,87,0.4046804762386475,2
topk_expected_consequence,1,cfC_interleaved_1_seed20260612_off1320,success_burden_proxy,signed,-9.210294746608112,-61.34991098054111,87,0.4046804762386475,2
topk_expected_consequence,1,cfD_tailheavy_0_seed20260621_off1380,product_proxy,positive,0.0359364201796821,5.2,84,0.32960235035383684,5
topk_expected_consequence,1,cfD_tailheavy_0_seed20260621_off1380,additive_proxy,positive,0.03313063535332356,15.8,84,0.32960235035383684,5
topk_expected_consequence,1,cfD_tailheavy_0_seed20260621_off1380,backend_success_proxy,positive,0.07303370786516852,5.2,84,0.32960235035383684,5
topk_expected_consequence,1,cfD_tailheavy_0_seed20260621_off1380,recovery_aware_proxy,positive,0.036723163841807904,5.2,84,0.32960235035383684,5
topk_expected_consequence,1,cfD_tailheavy_0_seed20260621_off1380,burden_proxy,burden,-0.5709978429096654,-113.6285707390234,84,0.32960235035383684,5
topk_expected_consequence,1,cfD_tailheavy_0_seed20260621_off1380,success_burden_proxy,signed,-1.2018499808311618,-51.6142853695117,84,0.32960235035383684,5
topk_expected_consequence,1,cfD_tailheavy_1_seed20260622_off1440,product_proxy,positive,0.06561859193438141,9.600000000000001,71,0.23911816207522507,2
topk_expected_consequence,1,cfD_tailheavy_1_seed20260622_off1440,additive_proxy,positive,0.056001647107267884,27.2,71,0.23911816207522507,2
topk_expected_consequence,1,cfD_tailheavy_1_seed20260622_off1440,backend_success_proxy,positive,0.10859728506787329,9.600000000000001,71,0.23911816207522507,2
topk_expected_consequence,1,cfD_tailheavy_1_seed20260622_off1440,recovery_aware_proxy,positive,0.06871868289191126,9.600000000000001,71,0.23911816207522507,2
topk_expected_consequence,1,cfD_tailheavy_1_seed20260622_off1440,burden_proxy,burden,-0.5205345703427924,-99.42210293547335,71,0.23911816207522507,2
topk_expected_consequence,1,cfD_tailheavy_1_seed20260622_off1440,success_burden_proxy,signed,-0.7173276181075289,-40.11105146773668,71,0.23911816207522507,2
topk_expected_consequence,2,cfA_frontloaded_0_seed20260511_off1020,product_proxy,positive,0.14701378254211334,14.4,157,0.48291516682967184,10
topk_expected_consequence,2,cfA_frontloaded_0_seed20260511_off1020,additive_proxy,positive,0.1370140965399402,64.15,157,0.48291516682967184,10
topk_expected_consequence,2,cfA_frontloaded_0_seed20260511_off1020,backend_success_proxy,positive,0.6088794926004228,14.4,157,0.48291516682967184,10
topk_expected_consequence,2,cfA_frontloaded_0_seed20260511_off1020,recovery_aware_proxy,positive,0.153028692879915,14.4,157,0.48291516682967184,10
topk_expected_consequence,2,cfA_frontloaded_0_seed20260511_off1020,burden_proxy,burden,-1.0481260414318274,-246.30961973647942,157,0.48291516682967184,10
topk_expected_consequence,2,cfA_frontloaded_0_seed20260511_off1020,success_burden_proxy,signed,-27.28224693949248,-108.7548098682397,157,0.48291516682967184,10
topk_expected_consequence,2,cfA_frontloaded_1_seed20260512_off1080,product_proxy,positive,0.1328600405679513,13.1,158,0.6984477035106524,10
topk_expected_consequence,2,cfA_frontloaded_1_seed20260512_off1080,additive_proxy,positive,0.12826832404629232,59.85,158,0.6984477035106524,10
topk_expected_consequence,2,cfA_frontloaded_1_seed20260512_off1080,backend_success_proxy,positive,0.5271629778672031,13.1,158,0.6984477035106524,10
topk_expected_consequence,2,cfA_frontloaded_1_seed20260512_off1080,recovery_aware_proxy,positive,0.13877118644067796,13.1,158,0.6984477035106524,10
topk_expected_consequence,2,cfA_frontloaded_1_seed20260512_off1080,burden_proxy,burden,-1.0442512753602875,-244.35479843430727,158,0.6984477035106524,10
topk_expected_consequence,2,cfA_frontloaded_1_seed20260512_off1080,success_burden_proxy,signed,-18.982294671812287,-109.07739921715364,158,0.6984477035106524,10
topk_expected_consequence,2,cfB_backloaded_0_seed20260521_off1140,product_proxy,positive,0.1617174959871589,20.15,119,0.5896942819348472,6
topk_expected_consequence,2,cfB_backloaded_0_seed20260521_off1140,additive_proxy,positive,0.16262584754468873,79.15,119,0.5896942819348472,6
topk_expected_consequence,2,cfB_backloaded_0_seed20260521_off1140,backend_success_proxy,positive,0.593519882179676,20.15,119,0.5896942819348472,6
topk_expected_consequence,2,cfB_backloaded_0_seed20260521_off1140,recovery_aware_proxy,positive,0.16989881956155142,20.15,119,0.5896942819348472,6
topk_expected_consequence,2,cfB_backloaded_0_seed20260521_off1140,burden_proxy,burden,-0.8875405825243886,-185.49598174759723,119,0.5896942819348472,6
topk_expected_consequence,2,cfB_backloaded_0_seed20260521_off1140,success_burden_proxy,signed,-5.1925767118271615,-72.59799087379862,119,0.5896942819348472,6
topk_expected_consequence,2,cfB_backloaded_1_seed20260522_off1200,product_proxy,positive,0.14479999999999996,18.099999999999994,123,0.4106443551776726,10
topk_expected_consequence,2,cfB_backloaded_1_seed20260522_off1200,additive_proxy,positive,0.1381660470879802,66.9,123,0.4106443551776726,10
topk_expected_consequence,2,cfB_backloaded_1_seed20260522_off1200,backend_success_proxy,positive,0.31782265144863914,18.099999999999994,123,0.4106443551776726,10
topk_expected_consequence,2,cfB_backloaded_1_seed20260522_off1200,recovery_aware_proxy,positive,0.1492783505154639,18.099999999999994,123,0.4106443551776726,10
topk_expected_consequence,2,cfB_backloaded_1_seed20260522_off1200,burden_proxy,burden,-0.8337344273280184,-181.754105157508,123,0.4106443551776726,10
topk_expected_consequence,2,cfB_backloaded_1_seed20260522_off1200,success_burden_proxy,signed,-2.764579032620453,-72.77705257875401,123,0.4106443551776726,10
topk_expected_consequence,2,cfC_interleaved_0_seed20260611_off1260,product_proxy,positive,0.1401617250673854,13.0,102,0.40891730819550115,10
topk_expected_consequence,2,cfC_interleaved_0_seed20260611_off1260,additive_proxy,positive,0.12647360328036908,49.35,102,0.40891730819550115,10
topk_expected_consequence,2,cfC_interleaved_0_seed20260611_off1260,backend_success_proxy,positive,0.41074249605055296,13.0,102,0.40891730819550115,10
topk_expected_consequence,2,cfC_interleaved_0_seed20260611_off1260,recovery_aware_proxy,positive,0.14951121334100057,13.0,102,0.40891730819550115,10
topk_expected_consequence,2,cfC_interleaved_0_seed20260611_off1260,burden_proxy,burden,-0.8985548037517049,-154.55142624529324,102,0.40891730819550115,10
topk_expected_consequence,2,cfC_interleaved_0_seed20260611_off1260,success_burden_proxy,signed,-4.261899990187904,-64.27571312264662,102,0.40891730819550115,10
topk_expected_consequence,2,cfC_interleaved_1_seed20260612_off1320,product_proxy,positive,0.11662125340599451,10.7,122,0.5880298701476224,3
topk_expected_consequence,2,cfC_interleaved_1_seed20260612_off1320,additive_proxy,positive,0.1150773195876289,44.650000000000006,122,0.5880298701476224,3
topk_expected_consequence,2,cfC_interleaved_1_seed20260612_off1320,backend_success_proxy,positive,0.44676409185803756,10.7,122,0.5880298701476224,3
topk_expected_consequence,2,cfC_interleaved_1_seed20260612_off1320,recovery_aware_proxy,positive,0.1206993795826283,10.7,122,0.5880298701476224,3
topk_expected_consequence,2,cfC_interleaved_1_seed20260612_off1320,burden_proxy,burden,-0.9548617522107387,-194.79179745099069,122,0.5880298701476224,3
topk_expected_consequence,2,cfC_interleaved_1_seed20260612_off1320,success_burden_proxy,signed,-13.015418732020072,-86.69589872549534,122,0.5880298701476224,3
