holdout_id,budget,comparator,match_type,comparator_scheduler_recall,comparator_absolute_recall,source_retained_absolute_recall,source_retained_scheduler_recall,source_retained_served_attack_mass,source_retained_backend_fail,source_retained_cost,source_retained_clean,source_retained_served_count,source_minus_comparator_scheduler_recall,source_minus_comparator_absolute_recall
cfB_backloaded_0_seed20260521_off1140,1,winner_replay,served_count,0.07343499197431778,0.07176470588235294,0.10235294117647059,0.10473515248796143,40.29999999999999,54,91.93374282733157,7,72,0.03130016051364365,0.030588235294117652
cfB_backloaded_0_seed20260521_off1140,1,winner_replay,cost,0.07343499197431778,0.07176470588235294,0.13529411764705884,0.13844301765650077,53.19999999999995,64,116.98908228019945,7,86,0.06500802568218299,0.0635294117647059
cfB_backloaded_0_seed20260521_off1140,1,winner_replay,backend_fail,0.07343499197431778,0.07176470588235294,0.11882352941176472,0.1215890850722311,45.549999999999976,57,98.68919503570987,7,77,0.04815409309791331,0.04705882352941178
cfB_backloaded_0_seed20260521_off1140,1,winner_replay,clean_service,0.07343499197431778,0.07176470588235294,0.0,0.0,0.0,6,8.149784079692836,6,6,-0.07343499197431778,-0.07176470588235294
cfB_backloaded_1_seed20260522_off1200,1,winner_replay,served_count,0.0764,0.07490196078431373,0.09215686274509804,0.09399999999999999,40.99999999999995,87,130.68916928376711,5,103,0.01759999999999999,0.017254901960784316
cfB_backloaded_1_seed20260522_off1200,1,winner_replay,cost,0.0764,0.07490196078431373,0.09098039215686274,0.09279999999999998,36.94999999999999,61,122.81607368383447,5,76,0.016399999999999984,0.01607843137254901
cfB_backloaded_1_seed20260522_off1200,1,winner_replay,backend_fail,0.0764,0.07490196078431373,0.09215686274509804,0.09399999999999999,41.14999999999995,88,131.76368326343618,5,104,0.01759999999999999,0.017254901960784316
cfB_backloaded_1_seed20260522_off1200,1,winner_replay,clean_service,0.0764,0.07490196078431373,0.09450980392156863,0.0964,42.34999999999994,100,144.86060891468833,11,118,0.020000000000000004,0.0196078431372549
cfC_interleaved_0_seed20260611_off1260,1,winner_replay,served_count,0.05121293800539076,0.05026455026455025,0.06666666666666664,0.06792452830188668,32.04999999999997,75,180.2130416305181,0,85,0.016711590296495923,0.01640211640211639
cfC_interleaved_0_seed20260611_off1260,1,winner_replay,cost,0.05121293800539076,0.05026455026455025,0.03333333333333332,0.03396226415094334,11.400000000000002,41,131.97135252201588,0,48,-0.017250673854447417,-0.01693121693121693
cfC_interleaved_0_seed20260611_off1260,1,winner_replay,backend_fail,0.05121293800539076,0.05026455026455025,0.06666666666666664,0.06792452830188668,32.849999999999966,77,184.94322445944545,0,87,0.016711590296495923,0.01640211640211639
cfC_interleaved_0_seed20260611_off1260,1,winner_replay,clean_service,0.05121293800539076,0.05026455026455025,0.06666666666666664,0.06792452830188668,38.449999999999946,92,208.55506424498253,1,102,0.016711590296495923,0.01640211640211639
cfC_interleaved_1_seed20260612_off1320,1,winner_replay,served_count,0.07465940054495901,0.07248677248677247,0.0984126984126984,0.10136239782016332,36.00000000000001,81,213.92633791716707,15,93,0.02670299727520431,0.02592592592592592
cfC_interleaved_1_seed20260612_off1320,1,winner_replay,cost,0.07465940054495901,0.07248677248677247,0.0984126984126984,0.10136239782016332,36.00000000000001,80,210.92385838376413,14,92,0.02670299727520431,0.02592592592592592
cfC_interleaved_1_seed20260612_off1320,1,winner_replay,backend_fail,0.07465940054495901,0.07248677248677247,0.0984126984126984,0.10136239782016332,36.00000000000001,81,213.92633791716707,15,93,0.02670299727520431,0.02592592592592592
cfC_interleaved_1_seed20260612_off1320,1,winner_replay,clean_service,0.07465940054495901,0.07248677248677247,0.0984126984126984,0.10136239782016332,36.00000000000001,80,210.92385838376413,14,92,0.02670299727520431,0.02592592592592592
cfD_tailheavy_0_seed20260621_off1380,1,winner_replay,served_count,0.035936420179682085,0.035016835016835016,0.0026936026936026937,0.0027643400138216987,16.60000000000001,72,97.7807005373661,9,73,-0.03317208016586039,-0.03232323232323232
cfD_tailheavy_0_seed20260621_off1380,1,winner_replay,cost,0.035936420179682085,0.035016835016835016,0.010774410774410775,0.011057360055286795,32.199999999999996,94,129.54824489963357,17,96,-0.02487906012439529,-0.02424242424242424
cfD_tailheavy_0_seed20260621_off1380,1,winner_replay,backend_fail,0.035936420179682085,0.035016835016835016,0.0026936026936026937,0.0027643400138216987,15.00000000000001,68,87.02701324411555,9,69,-0.03317208016586039,-0.03232323232323232
cfD_tailheavy_0_seed20260621_off1380,1,winner_replay,clean_service,0.035936420179682085,0.035016835016835016,0.0026936026936026937,0.0027643400138216987,17.800000000000004,75,103.74625741293767,9,76,-0.03317208016586039,-0.03232323232323232
cfD_tailheavy_1_seed20260622_off1440,1,winner_replay,served_count,0.046479835953520156,0.0457912457912458,0.0026936026936026937,0.0027341079972658913,14.500000000000009,64,99.85656431929328,10,65,-0.04374572795625426,-0.04309764309764311
cfD_tailheavy_1_seed20260622_off1440,1,winner_replay,cost,0.046479835953520156,0.0457912457912458,0.0026936026936026937,0.0027341079972658913,13.300000000000008,61,93.99537699533084,10,62,-0.04374572795625426,-0.04309764309764311
