comparison,left,right,slot_budget,metric,mean_delta_left_minus_right,median_delta_left_minus_right,min_delta,max_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p_two_sided,sign_flip_permutation_p_two_sided,n_holdouts,left_wins,left_losses,ties
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,2,cost,0.517094496475818,0.513644522401749,0.3482910459410951,0.7313894377471384,0.41808133838277106,0.6180257503245911,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,2,served_ratio,0.6744603905890904,0.6836164427655141,0.49686559889248405,0.8444197838521711,0.5946055657978047,0.7543624286770657,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,2,delay_p95,-3.59375,-3.0,-7.75,-1.0,-5.0,-2.5,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,2,backend_fail,121.625,117.0,88.0,167.0,104.125,141.5,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,2,recall,0.0939452722643403,0.10303302843583761,0.03839999999999996,0.14877384196185275,0.0657993191464878,0.12098054012380319,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,2,unnecessary,17.25,18.5,2.0,32.0,11.0,23.5,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,2,cost,0.370490822030574,0.3851810649265791,0.17319078018260825,0.5267277052172057,0.2839489767172538,0.45239696399148477,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,2,served_ratio,0.4233923804751707,0.4421443230375481,0.2401517784369009,0.6420449821361458,0.3402438198724491,0.5070637510847564,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,2,delay_p95,-2.3624999999999963,-2.125,-4.799999999999983,0.05000000000000426,-3.2874999999999943,-1.443593750000009,0.0703125,0.015625,8,7,1,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,2,backend_fail,83.875,79.5,57.0,140.0,69.125,102.625,0.0078125,0.0078125,8,0,8,0
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,2,recall,0.001599393912137528,0.011707652868109791,-0.03360000000000002,0.02041858090862686,-0.013038684682796828,0.014118868903719536,0.7265625,0.8203125,8,5,3,0
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,2,unnecessary,0.0,0.0,-1.0,1.0,-0.375,0.375,1.0,1.0,8,1,1,6
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,2,cost,-0.02094200323637456,-0.007202664244910367,-0.08398780130442157,0.020690543637374492,-0.04548372476187662,0.00040154570267592754,0.2890625,0.1640625,8,6,2,0
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,2,served_ratio,-0.022036441239926124,-0.013658671114162468,-0.09874247953412707,0.018412176841311023,-0.04705737866317099,-0.002698010299752987,0.0703125,0.0703125,8,1,7,0
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,2,delay_p95,-0.5187499999999972,-0.5,-3.0,2.0,-1.5374999999999943,0.5,0.6875,0.4375,8,4,2,2
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,2,backend_fail,-4.875,-4.5,-15.0,2.0,-8.375,-1.875,0.0703125,0.03125,8,7,1,0
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,2,recall,0.00958057093056001,0.015899510913676064,-0.008426966292134824,0.024606971975392994,-0.0006467006592454326,0.018346935562125286,0.7265625,0.109375,8,5,3,0
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,2,unnecessary,0.0,0.0,-1.0,1.0,-0.375,0.375,1.0,1.0,8,1,1,6
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,2,cost,-0.009519639619265455,-0.012230481839961421,-0.048035512741991526,0.03478882693744806,-0.025786233857997935,0.0074240103178228115,0.7265625,0.3203125,8,5,3,0
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,2,served_ratio,-0.013247983284022394,-0.013716225868590892,-0.06423739818179919,0.02829474843856461,-0.03359060893880389,0.006676066949711096,0.2890625,0.265625,8,2,6,0
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,2,delay_p95,0.006250000000001421,0.0,-3.0,1.75,-0.9937499999999986,0.8187500000000014,1.0,1.0,8,2,3,3
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,2,backend_fail,-3.875,-5.0,-8.0,4.0,-6.25,-1.0,0.2890625,0.0546875,8,6,2,0
