stage,stage_label,aggregate,holdout_tag,family_tag,slot_budget,variant,proxy,proxy_recall,served_attack_jobs,served_clean_jobs,backend_fail_count,average_service_cost_per_step
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,topk_expected_consequence,recovery_aware_proxy,0.8411016949152542,185,22,175,0.7843372772917755
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,2,topk_expected_consequence,burden_proxy,0.8685235661029919,185,22,175,0.7843372772917755
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_oracle_upgrade,current_product_proxy,0.4582664526484742,105,7,85,0.3424901591123848
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_oracle_upgrade,additive_proxy,0.49455516745428424,105,7,85,0.3424901591123848
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_oracle_upgrade,backend_success_weighted_proxy,0.5301914580265095,105,7,85,0.3424901591123848
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_oracle_upgrade,recovery_aware_proxy,0.4713322091062386,105,7,85,0.3424901591123848
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_oracle_upgrade,burden_proxy,0.4835854049035675,105,7,85,0.3424901591123848
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_proposed,current_product_proxy,0.49317817014446125,110,9,94,0.38481733767468657
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_proposed,additive_proxy,0.5244503801109516,110,9,94,0.38481733767468657
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_proposed,backend_success_weighted_proxy,0.46833578792341685,110,9,94,0.38481733767468657
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_proposed,recovery_aware_proxy,0.5080101180438439,110,9,94,0.38481733767468657
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,phase3_proposed,burden_proxy,0.5073010148957199,110,9,94,0.38481733767468657
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,topk_expected_consequence,current_product_proxy,0.577447833065811,120,9,102,0.43614078565392533
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,topk_expected_consequence,additive_proxy,0.5932812821039639,120,9,102,0.43614078565392533
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,topk_expected_consequence,backend_success_weighted_proxy,0.5301914580265095,120,9,102,0.43614078565392533
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,topk_expected_consequence,recovery_aware_proxy,0.578836424957842,120,9,102,0.43614078565392533
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,1,topk_expected_consequence,burden_proxy,0.5556506725526201,120,9,102,0.43614078565392533
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_oracle_upgrade,current_product_proxy,0.6930176565008034,161,9,133,0.6918275160619302
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_oracle_upgrade,additive_proxy,0.7451201972467623,161,9,133,0.6918275160619302
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_oracle_upgrade,backend_success_weighted_proxy,0.7216494845360824,161,9,133,0.6918275160619302
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_oracle_upgrade,recovery_aware_proxy,0.7053119730185505,161,9,133,0.6918275160619302
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_oracle_upgrade,burden_proxy,0.7967025128323411,161,9,133,0.6918275160619302
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_proposed,current_product_proxy,0.7351524879614775,166,9,135,0.7037927141027434
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_proposed,additive_proxy,0.7795356482432696,166,9,135,0.7037927141027434
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_proposed,backend_success_weighted_proxy,0.8144329896907215,166,9,135,0.7037927141027434
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_proposed,recovery_aware_proxy,0.7407251264755488,166,9,135,0.7037927141027434
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,phase3_proposed,burden_proxy,0.8164266914824495,166,9,135,0.7037927141027434
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,topk_expected_consequence,current_product_proxy,0.7520064205457471,168,9,139,0.720351814931773
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,topk_expected_consequence,additive_proxy,0.7933018286418726,168,9,139,0.720351814931773
source_frozen,source-frozen transfer,v1,cfB_backloaded_0_seed20260521_off1140,cfB_backloaded,2,topk_expected_consequence,backend_success_weighted_proxy,0.7525773195876287,168,9,139,0.720351814931773
