method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
source_frozen_transfer,,cfB_backloaded_0_seed20260521_off1140,1,0.0,,0.14446227929373995,0.14446227929373995,85,0.3424901591123848,7,0.5358851674641149,57.099999999999994,17.999999999999996,7,7,105,3,2,1,1.0,9.0,16.948215043970517,1.6512918385775694,184.9446859206878,False,False,none
fail_only_alpha_0.25,,cfB_backloaded_0_seed20260521_off1140,1,0.25,,0.14325842696629212,0.14325842696629212,82,0.3439197664814662,4,0.5167464114832536,57.849999999999994,17.849999999999998,4,4,104,3,2,1,1.0,9.0,17.201259791851044,1.719598832407331,185.71667389999175,False,False,fail_only
fail_only_alpha_0.5,,cfB_backloaded_0_seed20260521_off1140,1,0.5,,0.1348314606741573,0.1348314606741573,85,0.3421838773956442,3,0.5263157894736842,60.99999999999999,16.799999999999997,3,3,107,4,3,1,1.0,8.0,16.674252265149896,1.6798117617604351,184.77929379364787,False,False,fail_only
fail_only_alpha_1.0,,cfB_backloaded_0_seed20260521_off1140,1,1.0,,0.12199036918138044,0.12199036918138044,76,0.36679779388321093,3,0.46411483253588515,53.849999999999994,15.199999999999998,3,3,94,4,3,1,0.0,9.0,17.681255463472347,2.041967099968391,198.0708086969339,False,False,fail_only
cost_time_only_alpha_0.25,,cfB_backloaded_0_seed20260521_off1140,1,0.25,,0.15288924558587477,0.15288924558587477,95,0.3727317965742385,5,0.5885167464114832,69.85,19.049999999999997,5,5,118,4,3,1,2.0,9.0,14.85406904685788,1.6363834971551934,201.2751701500888,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfB_backloaded_0_seed20260521_off1140,1,0.5,,0.1360353130016051,0.1360353130016051,97,0.34598121354946654,5,0.5885167464114832,69.85,16.95,5,5,118,4,3,1,1.0,9.0,14.511477648727293,1.5189419131439994,186.82985531671193,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfB_backloaded_0_seed20260521_off1140,1,1.0,,0.1191813804173355,0.1191813804173355,92,0.31300116420938795,5,0.5550239234449761,63.14999999999999,14.849999999999998,5,5,111,3,2,1,0.0,9.25,15.564318455498794,1.457074385112668,169.0206286730695,False,False,cost_time_only
full_trbg_alpha_0.25,,cfB_backloaded_0_seed20260521_off1140,1,0.25,,0.15288924558587477,0.15288924558587477,89,0.3756588706516233,4,0.5598086124401914,65.5,19.049999999999997,4,4,113,3,2,1,1.0,9.0,15.34083939006186,1.7338101722382615,202.8557901518766,False,False,full_trbg
full_trbg_alpha_0.5,,cfB_backloaded_0_seed20260521_off1140,1,0.5,,0.1601123595505618,0.1601123595505618,89,0.37460611603386984,4,0.5598086124401914,67.3,19.949999999999996,4,4,113,3,2,1,1.0,8.199999999999989,15.554653061760796,1.7289513047717069,202.28730265828972,False,False,full_trbg
full_trbg_alpha_1.0,,cfB_backloaded_0_seed20260521_off1140,1,1.0,,0.15168539325842695,0.15168539325842695,89,0.4425078215143803,3,0.5502392344497608,65.55,18.9,3,3,112,5,4,1,0.0,9.0,13.538841446586277,2.077862814067525,238.95422361776536,False,False,full_trbg
