source,arm,ordinal,offset,objective,rmse_complex,rmse_magnitude,rmse_angle,ddd_loss,ddd_alarm,bdd_alarm,P_balance_pu,Q_balance_pu,returned_flow_pu,V_violation_pu,P_gen_violation_pu,Q_gen_violation_pu,active_limit_violation_pu
OPSD_DE_2016-07-15,N,68,6,15661.747058911697,0.0007139797914224459,0.0005568213886439666,0.00043138330195008665,0.01097901538014412,1,0,8.626304975889454e-09,6.790630462105707e-08,1.5454273596758312e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,69,7,15719.915930576097,0.0010616153114213476,0.0003506906080500694,0.0009651053621807865,0.012872151099145412,1,0,1.381832580304998e-08,1.0470248994198794e-07,3.606869577316152e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,70,8,15778.128547012035,0.0015545836038846417,0.00015589700855054217,0.0014923750169259734,0.014574449509382248,1,0,1.7851766061227625e-07,1.3884638916661363e-06,4.718447854656915e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,71,9,15836.386707265461,0.0007329023505774128,0.00042020670949951356,0.0005807603492459275,0.015962764620780945,1,0,2.878861146138334e-07,2.2402411385957777e-06,3.675188550155888e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,72,10,15854.84211661742,0.0036713977060808113,0.00046577047104186064,0.0035191454841806934,0.01765403151512146,1,0,3.342625716357128e-07,2.5685478140108353e-06,9.01055267171292e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,73,11,15873.32345252805,0.002072577776997504,0.0002437224031109576,0.0019988721117647906,0.0202390905469656,1,0,3.7912571000664474e-07,2.8870022358989944e-06,6.661338147750939e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,N,74,12,15891.8309376428,0.0010883680202763701,0.0001529773895694833,0.0010436568447788012,0.0230836383998394,1,0,4.097129840258118e-07,3.0900860219090776e-06,5.0895734351719815e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,63,1,15129.488467141811,0.0005144971954061711,0.00024398065123348275,0.00043925784032189705,0.00854412466287613,1,0,5.410174530595668e-10,2.297355083946684e-09,3.561545724537567e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,64,2,15329.306265510597,0.0015510584980856106,0.0004183413311923726,0.0014342308582908085,0.010442674160003662,1,0,5.68950899726417e-08,2.012740507040256e-07,1.839543176334585e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,65,3,15529.329135216349,0.0020338760967935866,0.000494966281015376,0.001911666352480314,0.012294754385948181,1,0,6.972785449033125e-08,2.926286726268046e-07,1.0103182026100664e-15,0.0,0.0,0.0,0.0
